carbon_source	nitrogen_source	pH	temperature	stirring_speed	aeration_rate	yield
0.1	1	3.1	16	10	0.1	100
0.2	2	3.3	16.1	10.5	0.11	100.5
0.3	3	3.5	16.2	11	0.12	101
0.4	4	3.7	16.3	11.5	0.13	101.5
0.5	5	3.9	16.4	12	0.14	102
0.6	6	4.1	16.5	12.5	0.15	102.5
0.7	7	4.3	16.6	13	0.16	103
0.8	8	4.5	16.7	13.5	0.17	103.5
0.9	9	4.7	16.8	14	0.18	104
1	10	4.9	16.9	14.5	0.19	104.5
1.1	11	5.1	17	15	0.2	105
1.2	12	5.3	17.1	15.5	0.21	105.5
1.3	13	5.5	17.2	16	0.22	106
1.4	14	5.7	17.3	16.5	0.23	106.5
1.5	15	5.9	17.4	17	0.24	107
1.6	16	6.1	17.5	17.5	0.25	107.5
1.7	17	6.3	17.6	18	0.26	108
1.8	18	6.5	17.7	18.5	0.27	108.5
1.9	19	6.7	17.8	19	0.28	109
2	20	6.9	17.9	19.5	0.29	109.5
2.1	21	7.1	18	20	0.3	110
2.2	22	7.3	18.1	20.5	0.31	110.5
2.3	23	7.5	18.2	21	0.32	111
2.4	24	7.7	18.3	21.5	0.33	111.5
2.5	25	7.9	18.4	22	0.34	112
2.6	26	8.1	18.5	22.5	0.35	112.5
2.7	27	8.3	18.6	23	0.36	113
2.8	28	8.5	18.7	23.5	0.37	113.5
2.9	29	8.7	18.8	24	0.38	114
3	30	8.9	18.9	24.5	0.39	114.5
3.1	31	9.1	19	25	0.4	115
3.2	32	9.3	19.1	25.5	0.41	115.5
3.3	33	9.5	19.2	26	0.42	116
3.4	34	9.7	19.3	26.5	0.43	116.5
3.5	35	9.9	19.4	27	0.44	117
3.6	36	10.1	19.5	27.5	0.45	117.5
3.7	37	10.3	19.6	28	0.46	118
3.8	38	10.5	19.7	28.5	0.47	118.5
3.9	39	10.7	19.8	29	0.48	119
4	40	10.9	19.9	29.5	0.49	119.5
4.1	41	11.1	20	30	0.5	120
4.2	42	11.3	20.1	30.5	0.51	120.5
4.3	43	11.5	20.2	31	0.52	121
4.4	44	11.7	20.3	31.5	0.53	121.5
4.5	45	11.9	20.4	32	0.54	122
4.6	46	12.1	20.5	32.5	0.55	122.5
4.7	47	12.3	20.6	33	0.56	123
4.8	48	12.5	20.7	33.5	0.57	123.5
4.9	49	12.7	20.8	34	0.58	124
5	50	12.9	20.9	34.5	0.59	124.5
5.1	51	13.1	21	35	0.6	125
5.2	52	13.3	21.1	35.5	0.61	125.5
5.3	53	13.5	21.2	36	0.62	126
5.4	54	13.7	21.3	36.5	0.63	126.5
5.5	55	13.9	21.4	37	0.64	127
5.6	56	14.1	21.5	37.5	0.65	127.5
5.7	57	14.3	21.6	38	0.66	128
5.8	58	14.5	21.7	38.5	0.67	128.5
5.9	59	14.7	21.8	39	0.68	129
6	60	14.9	21.9	39.5	0.69	129.5
6.1	61	15.1	22	40	0.7	130
6.2	62	15.3	22.1	40.5	0.71	130.5
6.3	63	15.5	22.2	41	0.72	131
6.4	64	15.7	22.3	41.5	0.73	131.5
6.5	65	15.9	22.4	42	0.74	132
6.6	66	16.1	22.5	42.5	0.75	132.5
6.7	67	16.3	22.6	43	0.76	133
6.8	68	16.5	22.7	43.5	0.77	133.5
6.9	69	16.7	22.8	44	0.78	134
7	70	16.9	22.9	44.5	0.79	134.5
7.1	71	17.1	23	45	0.8	135
7.2	72	17.3	23.1	45.5	0.81	135.5
7.3	73	17.5	23.2	46	0.82	136
7.4	74	17.7	23.3	46.5	0.83	136.5
7.5	75	17.9	23.4	47	0.84	137
7.6	76	18.1	23.5	47.5	0.85	137.5
7.7	77	18.3	23.6	48	0.86	138
7.8	78	18.5	23.7	48.5	0.87	138.5
7.9	79	18.7	23.8	49	0.88	139
8	80	18.9	23.9	49.5	0.89	139.5
8.1	81	19.1	24	50	0.9	140
8.2	82	19.3	24.1	50.5	0.91	140.5
8.3	83	19.5	24.2	51	0.92	141
8.4	84	19.7	24.3	51.5	0.93	141.5
8.5	85	19.9	24.4	52	0.94	142
8.6	86	20.1	24.5	52.5	0.95	142.5
8.7	87	20.3	24.6	53	0.96	143
8.8	88	20.5	24.7	53.5	0.97	143.5
8.9	89	20.7	24.8	54	0.98	144
9	90	20.9	24.9	54.5	0.99	144.5
9.1	91	21.1	25	55	1	145
9.2	92	21.3	25.1	55.5	1.01	145.5
9.3	93	21.5	25.2	56	1.02	146
9.4	94	21.7	25.3	56.5	1.03	146.5
9.5	95	21.9	25.4	57	1.04	147
9.6	96	22.1	25.5	57.5	1.05	147.5
9.7	97	22.3	25.6	58	1.06	148
9.8	98	22.5	25.7	58.5	1.07	148.5
9.9	99	22.7	25.8	59	1.08	149
10	100	22.9	25.9	59.5	1.09	149.5
10.1	101	23.1	26	60	1.1	150
10.2	102	23.3	26.1	60.5	1.11	150.5
10.3	103	23.5	26.2	61	1.12	151
10.4	104	23.7	26.3	61.5	1.13	151.5
10.5	105	23.9	26.4	62	1.14	152
10.6	106	24.1	26.5	62.5	1.15	152.5
10.7	107	24.3	26.6	63	1.16	153
10.8	108	24.5	26.7	63.5	1.17	153.5
10.9	109	24.7	26.8	64	1.18	154
11	110	24.9	26.9	64.5	1.19	154.5
11.1	111	25.1	27	65	1.2	155
11.2	112	25.3	27.1	65.5	1.21	155.5
11.3	113	25.5	27.2	66	1.22	156
11.4	114	25.7	27.3	66.5	1.23	156.5
11.5	115	25.9	27.4	67	1.24	157
11.6	116	26.1	27.5	67.5	1.25	157.5
11.7	117	26.3	27.6	68	1.26	158
11.8	118	26.5	27.7	68.5	1.27	158.5
11.9	119	26.7	27.8	69	1.28	159
12	120	26.9	27.9	69.5	1.29	159.5
12.1	121	27.1	28	70	1.3	160
12.2	122	27.3	28.1	70.5	1.31	160.5
12.3	123	27.5	28.2	71	1.32	161
12.4	124	27.7	28.3	71.5	1.33	161.5
12.5	125	27.9	28.4	72	1.34	162
12.6	126	28.1	28.5	72.5	1.35	162.5
12.7	127	28.3	28.6	73	1.36	163
12.8	128	28.5	28.7	73.5	1.37	163.5
12.9	129	28.7	28.8	74	1.38	164
13	130	28.9	28.9	74.5	1.39	164.5
13.1	131	29.1	29	75	1.4	165
13.2	132	29.3	29.1	75.5	1.41	165.5
13.3	133	29.5	29.2	76	1.42	166
13.4	134	29.7	29.3	76.5	1.43	166.5
13.5	135	29.9	29.4	77	1.44	167
13.6	136	30.1	29.5	77.5	1.45	167.5
13.7	137	30.3	29.6	78	1.46	168
13.8	138	30.5	29.7	78.5	1.47	168.5
13.9	139	30.7	29.8	79	1.48	169
14	140	30.9	29.9	79.5	1.49	169.5
14.1	141	31.1	30	80	1.5	170
14.2	142	31.3	30.1	80.5	1.51	170.5
14.3	143	31.5	30.2	81	1.52	171
14.4	144	31.7	30.3	81.5	1.53	171.5
14.5	145	31.9	30.4	82	1.54	172
14.6	146	32.1	30.5	82.5	1.55	172.5
14.7	147	32.3	30.6	83	1.56	173
14.8	148	32.5	30.7	83.5	1.57	173.5
14.9	149	32.7	30.8	84	1.58	174
15	150	32.9	30.9	84.5	1.59	174.5
15.1	151	33.1	31	85	1.6	175
15.2	152	33.3	31.1	85.5	1.61	175.5
15.3	153	33.5	31.2	86	1.62	176
15.4	154	33.7	31.3	86.5	1.63	176.5
15.5	155	33.9	31.4	87	1.64	177
15.6	156	34.1	31.5	87.5	1.65	177.5
15.7	157	34.3	31.6	88	1.66	178
15.8	158	34.5	31.7	88.5	1.67	178.5
15.9	159	34.7	31.8	89	1.68	179
16	160	34.9	31.9	89.5	1.69	179.5
16.1	161	35.1	32	90	1.7	180
16.2	162	35.3	32.1	90.5	1.71	180.5
16.3	163	35.5	32.2	91	1.72	181
16.4	164	35.7	32.3	91.5	1.73	181.5
16.5	165	35.9	32.4	92	1.74	182
16.6	166	36.1	32.5	92.5	1.75	182.5
16.7	167	36.3	32.6	93	1.76	183
16.8	168	36.5	32.7	93.5	1.77	183.5
16.9	169	36.7	32.8	94	1.78	184
17	170	36.9	32.9	94.5	1.79	184.5
17.1	171	37.1	33	95	1.8	185
17.2	172	37.3	33.1	95.5	1.81	185.5
17.3	173	37.5	33.2	96	1.82	186
17.4	174	37.7	33.3	96.5	1.83	186.5
17.5	175	37.9	33.4	97	1.84	187
17.6	176	38.1	33.5	97.5	1.85	187.5
17.7	177	38.3	33.6	98	1.86	188
17.8	178	38.5	33.7	98.5	1.87	188.5
17.9	179	38.7	33.8	99	1.88	189
18	180	38.9	33.9	99.5	1.89	189.5
18.1	181	39.1	34	100	1.9	190
18.2	182	39.3	34.1	100.5	1.91	190.5
18.3	183	39.5	34.2	101	1.92	191
18.4	184	39.7	34.3	101.5	1.93	191.5
18.5	185	39.9	34.4	102	1.94	192
18.6	186	40.1	34.5	102.5	1.95	192.5
18.7	187	40.3	34.6	103	1.96	193
18.8	188	40.5	34.7	103.5	1.97	193.5
18.9	189	40.7	34.8	104	1.98	194
19	190	40.9	34.9	104.5	1.99	194.5
19.1	191	41.1	35	105	2	195
19.2	192	41.3	35.1	105.5	2.01	195.5
19.3	193	41.5	35.2	106	2.02	196
